Nombre,Direccion,Telefono,Web,Email,Sector,Ubicacion
Fisioterapia Alcobendas,"C. del Marqués de la Valdavia, 95, local 3, 28100 Alcobendas, Madrid",+34 650 67 98 98,http://www.fisioterapia-alcobendas.com/,info@fisioterapia-alcobendas.com,Fisioterapia,Alcobendas
AlcoFisio | Fisioterapia y Podología en Alcobendas,"C. de la Marquesa Viuda de Aldama, 62, 28100 Alcobendas, Madrid",+34 910 85 29 25,http://www.fisioterapiaenalcobendas.es/,alcofisio@fisioterapiaenalcobendas.es,Fisioterapia,Alcobendas
Fisiosalud+ Alcobendas | Fisioterapia Avanzada en Alcobendas,"P.º de la Chopera, 38, 28100 Alcobendas, Madrid",+34 916 62 12 01,https://fisioalcobendas.com/,alcobendas@fisioweb.com,Fisioterapia,Alcobendas
Fisioterapia en Alcobendas | Clinic Care,"P.º de la Chopera, 311, 28100 Alcobendas, Madrid",+34 671 23 03 35,https://www.cliniccaremadrid.com/,cliniccaremadrid@gmail.com,Fisioterapia,Alcobendas
FisioClinics La Moraleja (Alcobendas),"Av. de Bruselas, 5, 28108 Alcobendas, Madrid",+34 637 55 97 54,https://moraleja.fisio-clinics.com/,info.madrid@fisio-clinics.com,Fisioterapia,Alcobendas
Fisio 100,"P.º de Fuente Lucha, 4, 28100 Alcobendas, Madrid",+34 681 02 59 48,https://web.timp.pro/home/14911/branch_building/siblings,,Fisioterapia,Alcobendas
Centro 180 Grados,"Pl. Mayor, 2, 28100 Alcobendas, Madrid",+34 660 33 77 82,http://www.centro180grados.com/?utm_source=gmb&utm_medium=organic&utm_campaign=google-my-business,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,Fisioterapia,Alcobendas
"Corporación Fisiogestión Alcobendas | Rehabilitación, Fisioterapia y Logopedia","C. del Marqués de la Valdavia, 42, 28100 Alcobendas, Madrid",+34 910 82 00 32,https://www.fisiogestion.com/centros/cf-alcobendas/?utm_source=google&utm_medium=maps&utm_campaign=Google%20Maps&utm_content=Alcobendas,cfalcobendas@fisiogestion.com,Fisioterapia,Alcobendas
Clínica Óseo Fisioterapia,"C. de Manuel de Falla, 48, 28100 Alcobendas, Madrid",+34 610 43 76 35,https://www.clinicaoseo.com/,clinicaoseo@gmail.com,Fisioterapia,Alcobendas
Fisioterapia y Osteopatía Blanca Delgado,"Av. de la Magia, 11, 28100 Alcobendas, Madrid",+34 650 25 46 91,,,Fisioterapia,Alcobendas
Fisioterapia La Vega,"Av. Olímpica, 32, local 3, 28108 Alcobendas, Madrid",+34 916 61 39 34,http://www.fisioterapialavega.com/,info@fisioterapialavega.com,Fisioterapia,Alcobendas
Aramendia Salud,"P.º de la Chopera, 107, 28100 Alcobendas, Madrid",+34 611 13 50 31,https://www.aramendiasalud.com/,aramendiasalud@gmail.com,Fisioterapia,Alcobendas
On Fisioterapia - Clínica de Fisioterapia en Alcobendas,"C/ del Camino del Cura, C.El Encinar, 10, local B12 C, 28109 Alcobendas, Madrid",+34 916 25 70 94,https://www.onfisioterapia.com/,info@onfisioterapia.com,Fisioterapia,Alcobendas
