Nombre,Direccion,Telefono,Web,Email,Sector,Ubicacion
Centro De Fisioterapia Y Osteopatía Susana Cobo,"C. de Ávila, 3, Bl. 6 Bajo A, 28830 San Fernando de Henares, Madrid",+34 646 20 94 58,https://fisioterapiasusanacobo.es/,info@fisioterapiasusanacobo.es,Fisioterapia,Madrid
"FISIO TIRSO MADRID. Centro de Fisioterapia, Ecografía, Osteopatía, Punción seca y Masaje.","Pl. de Tirso de Molina, 16, Piso 4, Puerta 5, Centro, 28012 Madrid",+34 647 04 30 55,https://fisiotirso.webnode.es/,contacto@ejemplo.com,Fisioterapia,Madrid
Ergosalud - Clínica de fisioterapia,"C. Llanes, 12, 28830 San Fernando de Henares, Madrid",+34 910 52 76 40,https://ergosalud.es/,info@ergosalud.es,Fisioterapia,Madrid
Pasos Fisioterapia,"C. Rafael Sánchez Ferlosio, 11, 28830 San Fernando de Henares, Madrid",+34 616 07 93 95,http://www.pasosfisioterapia.com/,info@pasosfisioterapia.com,Fisioterapia,Madrid
eFISIO Fisioterapia,"C. de Carranza, 7, 1°6, Centro, 28004 Madrid",+34 910 05 23 63,https://www.efisio.es/clinica/fisioterapia-chamberi/?utm_source=gmb,contacto@efisio.es,Fisioterapia,Madrid
"Clínica de Fisioterapia y Osteopatía Enric Gallofre, Goya, Madrid","Calle de Castelló, 24, Esc. 1, 3º Izq, Salamanca, 28001 Madrid",+34 919 93 15 86,https://enricgallofre.com/clinicas/fisioterapeuta-madrid?utm_source=gmbMAD&utm_medium=websiteMAD&utm_campaign=gmbMADwebsite,hola@enricgallofre.com,Fisioterapia,Madrid
CLÍNICA DE FISIOTERAPIA DEBOD,"C. de Evaristo San Miguel, 19, Moncloa - Aravaca, 28008 Madrid",+34 917 58 15 90,http://www.fisioterapiadebod.es/,tuemail@ejemplo.com,Fisioterapia,Madrid
eFISIO Fisioterapia,"C. de Ruiz Perelló, 3, Entreplanta, Salamanca, 28028 Madrid",+34 910 05 23 63,https://www.efisio.es/clinica/fisioterapia-barrio-salamanca?utm_source=gmb,contacto@efisio.es,Fisioterapia,Madrid
eFISIO,"C. de Portalegre, 77, Carabanchel, 28025 Madrid",+34 910 05 23 63,https://www.efisio.es/?utm_source=gmb,contacto@efisio.es,Fisioterapia,Madrid
UrbanFisio,"C. de San Sotero, 11, 1º 1ª, San Blas-Canillejas, 28037 Madrid",+34 911 23 89 34,https://www.urbanfisio.com/,info@urbanfisio.com,Fisioterapia,Madrid
Fisio en el Centro,"Antón Martín, C. de Embajadores, 76, Arganzuela, 28012 Madrid",+34 603 97 48 95,https://fisioenelcentro.com/,robeds90@gmail.com,Fisioterapia,Madrid
🥇PURAFISIOTERAPIA- Barrio Salamanca en Madrid,"Calle del Gral. Pardiñas, 118, local 10, Salamanca, 28006 Madrid",+34 910 09 79 80,http://www.purafisioterapia.com/,,Fisioterapia,Madrid
Fisiotherapy Madrid,"C. de Alenza, 20, B, Bajo, Chamberí, 28003 Madrid",+34 695 94 17 74,http://www.fisiotherapymadrid.com/,fisiotherapymadrid@gmail.com,Fisioterapia,Madrid
Fisiomoncloa,"C. de Cea Bermúdez, 36, 1c, Chamberí, 28003 Madrid",+34 635 80 49 92,https://fisiomoncloa.es/,info@fisiomoncloa.es,Fisioterapia,Madrid
Fisioterapia Centro,"C/ Goya 77, 1º escalera derecha, Salamanca, 28001 Madrid",+34 665 35 62 00,https://www.fisioterapiacentro.com/,hola@fisioterapiacentro.com,Fisioterapia,Madrid
Fisioterapia Madrid,"Calle de Juan Bravo, 75, Primera planta, Salamanca, 28006 Madrid",+34 914 02 63 90,http://www.fisioterapia-madrid.com/,info@fisioterapiajl.com,Fisioterapia,Madrid
Clínicas H3 Fisioterapia Madrid,"C. de Serrano, 224, Chamartín, 28016 Madrid",+34 606 98 63 52,https://clinicash3.es/,info@clinicash3.es,Fisioterapia,Madrid
"Fisioterapia, Osteopatía y Pilates Fernando Navarro","Calle de Castelló, 24, Salamanca, 28001 Madrid",+34 654 24 45 46,https://www.fisioterapiafernandonavarro.com/,fisioterapia@fisioterapiafernandonavarro.com,Fisioterapia,Madrid
"Korporea - Fisioterapia, Osteopatía, Podología y Pilates en Coslada","Av. de Madrid, 32, 28822 Coslada, Madrid",+34 916 69 80 85,http://www.korporea.es/,clinicakorporea@yahoo.com,Fisioterapia,Madrid
EstudioFisio - Clínica de fisioterapia,"Calle del Gral. Pardiñas, 74, Salamanca, 28006 Madrid",+34 911 45 59 39,https://estudiofisio.es/barrio-de-salamanca/?utm_source=google&utm_medium=gbp&utm_campaign=link_gbp_salamanca,info@estudiofisio.es,Fisioterapia,Madrid
Fisiojes,"P.º de Sta. María de la Cabeza, 39, Arganzuela, 28045 Madrid",+34 630 68 37 91,https://fisiojes.com/,info@fisiojes.com,Fisioterapia,Madrid
Fisiopou,"C. de Arriaza, 1, Moncloa - Aravaca, 28008 Madrid",+34 635 06 81 72,https://fisiopou.es/?utm_source=GMB&utm_medium=web&utm_campaign=GMB,,Fisioterapia,Madrid
ILUNION Clínica de Fisioterapia,"C. del Pensamiento, 23, Tetuán, 28020 Madrid",+34 624 62 57 50,https://www.ilunionbienestaryvidasenior.com/es/centros/fisioterapia/ilunion-pensamiento,,Fisioterapia,Madrid
Clínica fisioterapia avanzada Juan López - Fisioterapia Madrid,"C. de Ibiza, 42, 1ºB, Retiro, 28009 Madrid",+34 722 85 79 66,https://fisioterapiamadridcentro.es/,info@fisioterapiamadridcentro.es,Fisioterapia,Madrid
Fisioterapia Goya,"Calle de Diego de León, 31, 1ºA, Salamanca, 28006 Madrid",+34 636 30 11 69,https://www.fisioterapiagoya.es/,info@fisioterapiagoya.es,Fisioterapia,Madrid
Fisioterapia Novofisio,"Av. de los Arces, 24, Hortaleza, 28042 Madrid",+34 917 42 02 93,https://www.novofisio.com/,info@novofisio.com,Fisioterapia,Madrid
Soul Fisioterapia Coslada,"C. Alameda, 15, 28821 Coslada, Madrid",+34 644 69 12 80,https://www.clinica.soulfisioterapia.com/,info@soulfisioterapia.com,Fisioterapia,Madrid
Clínica de Fisioterapia TreSSaluD Henares,"Av. de la Coruña, 5, 28830 San Fernando de Henares, Madrid",+34 919 42 30 92,https://tressalud.com/tressalud-henares/,info@tressalud.com,Fisioterapia,Madrid
Fisioterapia Puerta del Sol,"Prta del Sol, 4, Centro, 28013 Madrid",+34 611 76 67 70,https://fisioterapiapuertadelsol.es/,info@fisioterapiapuertadelsol.es,Fisioterapia,Madrid
Fisioterapia y Osteopatía Fuencarral,"Prta del Sol, 4, 4ºC, Centro, 28013 Madrid",+34 667 40 33 32,https://fisiofuencarral.es/,info@fisiofuencarral.es,Fisioterapia,Madrid
AFISIONATE Madrid,"Calle del Dr. Castelo, 20, 1ª planta, Retiro, 28009 Madrid",+34 914 31 76 48,https://afisionatemadrid.com/,info@afisionatemadrid.com,Fisioterapia,Madrid
Fisioalmat,"C. de Málaga, 5, Chamberí, 28003 Madrid",+34 910 25 67 04,https://www.fisioterapiamadrid.net/,contactofisioalmat@fisioterapiamadrid.net,Fisioterapia,Madrid
FisioSpace Génova,"Calle de Génova, 12, 1º B, Centro, 28004 Madrid",+34 633 11 87 25,http://fisiospace.es/,flags@2x.webp,Fisioterapia,Madrid
FISIOMADRID21 - Fisioterapia en barrio de Salamanca (Madrid),"Av. de América, 6, 1ºB, Salamanca, 28028 Madrid",+34 633 66 81 97,https://fisiomadrid21.com/,info@fisiomadrid21.com,Fisioterapia,Madrid
AC Fisioterapia - Clínica de fisioterapia avanzada,"C. del Marqués de Jura Real, 2, Carabanchel, 28019 Madrid",+34 914 69 25 10,http://www.acfisio.madrid/,info@acfisio.es,Fisioterapia,Madrid
Clínica Rozalén Fisioterapia y Rehabilitación - O'Donnell,"Calle de O'Donnell, 49, Salamanca, 28009 Madrid",+34 915 04 44 11,https://clinicarozalen.com/,info@clinicarozalen.com,Fisioterapia,Madrid
MedicalR2 Fisioterapia-Pilates -Fisioterapia deSuelo Pelvico,"C. de Cavanilles, 9, Retiro, 28007 Madrid",+34 647 59 48 74,http://www.medicalr2.es/,info@medicalr2.es,Fisioterapia,Madrid
Fisio-Especialistas - Fisioterapia Suelo Pélvico:,"C. de Lope de Rueda, 17, 1ºC, Salamanca, 28009 Madrid",+34 667 03 01 23,https://fisio-especialistas.com/,info@fisio-especialistas.com,Fisioterapia,Madrid
Clínicas H3 Fisioterapia Chamartín,"C. Carlos Caamaño, 4, Chamartín, 28016 Madrid",+34 633 07 65 13,https://clinicash3caamaño.es/,info.caamano@clinicash3.es,Fisioterapia,Madrid
FisioAvanza Delicias,"C. de la Batalla del Salado, 21, Arganzuela, 28045 Madrid",+34 664 85 61 22,http://www.fisioavanzadelicias.com/,info@fisioavanzadelicias.com,Fisioterapia,Madrid
Fisioterapia Puerto Salud,"Pl. del Mar Egeo, 15, 28821 Coslada, Madrid",+34 912 47 74 97,http://www.puertosalud.es/,info@puertosalud.es,Fisioterapia,Madrid
CLÍNICAS UNESPA. Accidentes de Tráfico. Centro Médico. Fisioterapia a domicilio en Coslada - Conares,"Pl. de los Comuneros, 7, local 4, 28821 Coslada, Madrid",+34 911 62 32 14,https://fisiocasa.es/unespa-clinica-de-fisioterapia-en-coslada-madrid/,info@fisiocasa.es,Fisioterapia,Madrid
Fisio La Latina,"C. de Toledo, 84, Centro, 28005 Madrid",+34 644 77 85 52,http://www.fisiolalatina.es/,fisioterapia@eduveiga.es,Fisioterapia,Madrid
Fisioterapia Madrid Río,"P.º Imperial, 81, Arganzuela, 28005 Madrid",+34 914 73 29 23,http://www.fisioterapiamadridrio.es/,fisioterapiamadridrio@gmail.com,Fisioterapia,Madrid
EstudioFisio - Clínica de fisioterapia,"Calle de Viriato, 56, Chamberí, 28010 Madrid",+34 912 87 53 02,https://estudiofisio.es/chamberi/?utm_source=google&utm_medium=gbp&utm_campaign=link_gbp_chamberi,info@estudiofisio.es,Fisioterapia,Madrid
Fisioterapia Madrid (FTM),"C. de Padilla, 61, Salamanca, 28006 Madrid",+34 647 12 48 74,https://ftmmadrid.com/,info@ftmmadrid.com,Fisioterapia,Madrid
Clínica de Fisioterapia Coslada,"Pl. de los Comuneros, 7, local 5, 28821 Coslada, Madrid",+34 917 14 00 19,https://clinicafisioterapiacoslada.com/,contact@mysite.com,Fisioterapia,Madrid
Fisiowhite Fisioterapia - Barrio Salamanca,"C. de Montesa, 47, Salamanca, 28006 Madrid",+34 641 90 47 47,https://www.fisiowhite.com/,hola@fisiowhite.com,Fisioterapia,Madrid
Clínica Río Fisioterapia Avanzada,"Av del Manzanares, 202, Usera, 28026 Madrid",+34 630 27 81 65,https://clinicario.es/,info@clinicario.es,Fisioterapia,Madrid
Clínica de Fisioterapia San Pedro.,"Calle del Gral. Pardiñas, 70, 1º A IZQUIERDA, Salamanca, 28006 Madrid",+34 608 92 81 81,http://www.fisioterapiasanpedro.com/,,Fisioterapia,Madrid
Masfisio,"Pje. del Dr. Esquerdo, 4, Salamanca, 28028 Madrid",+34 914 31 80 86,https://www.masfisio.es/,info@masfisio.es,Fisioterapia,Madrid
