Nombre,Direccion,Telefono,Web,Email,Sector,Ubicacion
Mi Piso en Madrid,"P.º de Recoletos, 5, Centro, 28004 Madrid",+34 917 89 31 21,https://www.mipisoenmadrid.com/,,inmobiliaria,Madrid
VIVEI Real Estate La Latina,"C. de Toledo, 101, Centro, 28005 Madrid",+34 910 22 07 99,,,inmobiliaria,Madrid
Grupo Inmobiliario Ares | Inmobiliaria en Madrid,"C. de Serrano, 240, Chamartín, 28016 Madrid",+34 914 43 08 05,https://www.grupoinmobiliarioares.com/,,inmobiliaria,Madrid
Novalinmo Agencia Inmobiliaria en Madrid,"Av. de Brasil, 17, entreplanta, Tetuán, 28020 Madrid",+34 918 28 79 79,https://novalinmo.es/?utm_source=google&utm_medium=maps&utm_campaign=seolocal&utm_content=ubicacion1,,inmobiliaria,Madrid
vivienda2,"Calle de María de Molina, 66, Salamanca, 28006 Madrid",+34 915 10 65 00,http://www.vivienda2.com/,,inmobiliaria,Madrid
InmoYael | Alquiler y Venta de Pisos en Madrid - Servicios Inmobiliarios,"Calle de Antonio López, 49, Carabanchel, 28019 Madrid",+34 919 35 82 27,https://inmoyael.com/,,inmobiliaria,Madrid
MADRID URBAN PROPERTIES,"Av. del Papa Negro, 11, Hortaleza, 28043 Madrid",,http://www.madridurbanproperties.com/,,inmobiliaria,Madrid
Inmobiliaria Chamberi - Don Chamberi Inmobiliaria,"P.º del Gral. Martínez Campos, 23, Chamberí, 28010 Chamberí, Madrid",+34 910 59 30 85,https://www.inmobiliariadonchamberi.madrid/es/,,inmobiliaria,Madrid
Unica Inmobiliaria - Inmobiliaria en Madrid,"C. de Jorge Juan, 64, Salamanca, 28009 Madrid",+34 915 76 01 01,http://www.unicainmobiliaria.com/,info@unicainmobiliaria.com,inmobiliaria,Madrid
GILMAR Consulting Inmobiliario - Inmobiliaria Madrid Centro (Sol-Plaza Mayor),"Pl. de Herradores, 4, Centro, 28013 Madrid",+34 911 19 99 99,https://www.gilmar.es/oficinas/agencia-inmobiliaria-madrid-centro/?utm_source=gmb&utm_medium=cta&utm_campaign=inmobiliaria_madrid_centro_sol-plaza_mayor,,inmobiliaria,Madrid
Madrid Alquila,"C. de Luis Cabrera, 57, Chamartín, 28002 Madrid",+34 914 13 11 00,https://madridalquila.es/,,inmobiliaria,Madrid
De Raíces Inmobiliaria,"C. de la Farmacia, 8, bajo izquierda, Centro, 28015 Madrid",+34 635 11 94 26,https://www.deraicesinmobiliaria.com/,,inmobiliaria,Madrid
VIVEI Real Estate | Agencia Inmobiliaria en Antón Martín-Huertas-Cortes,"C. de Atocha, 53, Centro, 28012 Madrid",+34 602 22 00 33,https://viveire.es/,,inmobiliaria,Madrid
Agencia Inmobiliaria Vivienda Capital,"C. de Manuela Malasaña, 16, Centro, 28004 Madrid",+34 914 45 05 30,https://viviendacapital.com/,,inmobiliaria,Madrid
Inmobiliaria Chamartín - Nueva España Redpiso,"C. de Costa Rica, 18, Chamartín, 28016 Madrid",+34 910 32 76 04,https://www.redpiso.es/oficina/inmobiliaria-chamartin-nueva-espana/venta,,inmobiliaria,Madrid
iRent Madrid,"C. de Joaquín Costa, 15, #215, Chamartín, 28002 Madrid",+34 611 63 39 70,http://www.irentmadrid.com/,,inmobiliaria,Madrid
Enmoziona Real Estate I Inmobiliaria en Madrid,"P.º de la Castellana, 259D, Planta 18, Fuencarral-El Pardo, 28046 Madrid",+34 910 07 58 59,http://www.enmoziona.es/,,inmobiliaria,Madrid
Compramos tu casa y Gestion Integral Alquileres | EINMUEBLES,"Pl. Manuel Rodrigo, 11, Hortaleza, 28043 Madrid",+34 634 68 91 49,https://einmuebles.es/,,inmobiliaria,Madrid
Avanza Homes Inmobiliaria,"Calle del Príncipe de Vergara, 291, Chamartín, 28016 Madrid",+34 911 25 09 88,https://avanzahomes.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,,inmobiliaria,Madrid
Agencia Inmobiliaria - NOVAHOME - Embajadores La Latina,"C. de Embajadores, 2, Centro, 28012 Madrid",+34 917 95 98 61,http://www.novahomesl.com/,,inmobiliaria,Madrid
Housfy Inmobiliaria Madrid Chamartín,"C. de López de Hoyos, 117, Chamartín, 28002 Chamartín, Madrid",+34 911 43 85 04,https://housfy.com/inmobiliarias/s/madrid-chamartin-calle-lopez-de-hoyos-117?utm_source=local_search,,inmobiliaria,Madrid
Inmobiliaria Hispanoamérica Redpiso,"C de Víctor de la Serna, 1, Chamartín, 28016 Madrid",+34 915 15 28 86,https://www.redpiso.es/oficina/inmobiliaria-hispanoamerica/venta,,inmobiliaria,Madrid
Chamartín Inmobiliaria,"C. de Costa Rica, 13, Chamartín, 28016 Madrid",+34 616 64 43 83,https://chamartininmobiliaria.es/,,inmobiliaria,Madrid
Century 21 Boutique,"C. de Serrano, 209, Chamartín, 28016 Madrid",+34 912 16 57 58,https://www.teamboutique.es/,,inmobiliaria,Madrid
EXTRA Chamartín,"C. de Colombia, 2, Chamartín, 28016 Madrid",+34 917 70 38 18,https://www.vender-piso-rapido.com/valoracion,,inmobiliaria,Madrid
Iciara Real Estate - Personal Shopper Inmobiliario Madrid,"Chamartín, 28016 Madrid",+34 666 39 14 45,https://www.iciararealestate.com/?utm_source=Google%20My%20Business&utm_medium=organic&utm_campaign=organic,,inmobiliaria,Madrid
"Agencia Inmobiliaria Oasis House - Chamartín, Tetuán, Barrio de Salamanca, Chamberí y más","C. de Henri Dunant, 19, Chamartín, 28036 Madrid",+34 644 27 21 51,https://theoasishouse.es/?utm_source=google&utm_medium=GBP&utm_campaign=Main_Link,,inmobiliaria,Madrid
GILMAR Consulting Inmobiliario - Oficina Avenida de América,"Calle López de Hoyos, Esq, C. del Corazón de María, Chamartín, 28002 Madrid",+34 917 71 77 99,https://www.gilmar.es/oficinas/agencia-inmobiliaria-lopez-de-hoyos/?utm_source=gmb&utm_medium=cta&utm_campaign=inmobiliaria_l%C3%B3pez_de_hoyos_prosperidad,,inmobiliaria,Madrid
Somos M,"C de Víctor de la Serna, 31, Chamartín, 28016 Madrid",+34 656 41 43 83,https://somosm.es/,,inmobiliaria,Madrid
ONEPISO Inmobiliaria,"C. de Ros de Olano, 2, Chamartín, 28002 Madrid",+34 659 11 58 59,http://www.onepiso.es/,,inmobiliaria,Madrid
reines® red de inmobiliarias españolas,"C. de Potosí, 8, Chamartín, 28016 Madrid",+34 653 34 37 64,https://www.reines.es/chamartin,,inmobiliaria,Madrid
Allhouse Inmobiliaria,"C. de Potosí, 8, Chamartín, 28016 Madrid",+34 911 33 07 75,http://www.allhouseinmobiliaria.es/,,inmobiliaria,Madrid
