Nombre,Direccion,Telefono,Web,Email,Sector,Ubicacion
Restaurante Los Montes de Galicia,"C. de Azcona, 46, Salamanca, 28028 Madrid",+34 913 55 27 86,https://losmontesdegalicia.es/,,restaurantes,Madrid
Restaurante Sacha,"Zona ajardinada, C. de Juan Hurtado de Mendoza, 11, Posterior, Chamartín, 28036 Madrid",+34 913 45 59 52,http://www.restaurantesacha.com/,,restaurantes,Madrid
Restaurante Gloria Bendita Madrid,"Calle de Santiago, 3, Centro, 28013 Madrid",+34 640 17 04 16,https://gloriabenditaoficial.com/,,restaurantes,Madrid
PAIPÁI | Restaurante Asiático Madrid,"Pl. del Perú, nº4, Chamartín, 28016 Madrid",+34 913 48 67 88,http://www.paipairestaurante.com/?utm_source=GMB&utm_medium=gmb&utm_campaign=gmb&utm_id=web,,restaurantes,Madrid
Restaurante El Sueño de Carmen,"C. de San Epifanio, 7, Arganzuela, 28005 Madrid",+34 655 01 25 88,https://elsuenodecarmen.com/,,restaurantes,Madrid
La Esquina del Real,"C. de la Amnistía, 4, Centro, 28013 Madrid",+34 915 59 43 09,http://www.laesquinadelreal.com/,,restaurantes,Madrid
Restaurante Más de Santa,"Calle del General Díaz Porlier, 95, Salamanca, 28006 Madrid",+34 917 24 17 87,https://restaurantemasdesanta.com/,,restaurantes,Madrid
La Taberna de Peñalver,"C. del Conde de Peñalver, 90, Salamanca, 28006 Madrid",+34 608 45 05 51,https://www.latabernadepenalver.com/,,restaurantes,Madrid
Restaurante KAA Madrid,"C. de Víctor Andrés Belaunde, 3, Chamartín, 28016 Madrid",+34 679 55 54 83,https://www.kaamadrid.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,restaurantes,Madrid
Casa Mùi,"Calle de Puerto Rico, 15, Local 9, Chamartín, 28016 Madrid",+34 645 38 32 82,http://www.casamui.es/,,restaurantes,Madrid
La Única Madrid Restaurante,"C. Alcalá, 87, Salamanca, 28001 Madrid",+34 679 05 47 46,https://launicamad.com/,,restaurantes,Madrid
La MaMá Restaurante,"Parque, Av. de Brasil, 6, Tetuán, 28020 Madrid",+34 910 61 97 64,http://www.lamamarestaurante.com/,,restaurantes,Madrid
Restaurante Arrabal,"Pl. Mayor, 23, Centro, 28012 Madrid",+34 918 62 94 89,https://www.arrabalmadrid.es/,,restaurantes,Madrid
Restaurante Bel Mondo,"Calle Velázquez, 39, Salamanca, 28001 Madrid",+34 919 01 03 69,https://www.bigmammagroup.com/es/restaurantes-italianos/bel-mondo?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website,,restaurantes,Madrid
Restaurante Lakasa,"Pl. del Descubridor Diego de Ordás, 1, Chamberí, 28003 Madrid",+34 915 33 87 15,http://lakasa.es/,,restaurantes,Madrid
Ástor gastro-place,"C. del Almendro, 9, Centro, 28005 Madrid",+34 910 39 80 00,http://www.astor.es/,,restaurantes,Madrid
Taberna El Sur,"C. de la Torrecilla del Leal, 12, Centro, 28012 Madrid",+34 915 27 83 40,https://tabernaelsur.shop/,,restaurantes,Madrid
Restaurante La Bien Aparecida,"C. de Jorge Juan, 8, Salamanca, 28001 Madrid",+34 911 59 39 39,http://www.restaurantelabienaparecida.com/,,restaurantes,Madrid
Restaurante Los Galayos,"C. de Botoneras, 5, Centro, 28012 Madrid",+34 913 66 30 28,http://www.losgalayos.net/,,restaurantes,Madrid
Ático Restaurante & Terraza,"C. del Marqués de Valdeiglesias, 1, Centro, 28004 Madrid",+34 919 03 41 59,https://www.theprincipalmadridhotel.com/es/restaurante-atico-madrid/?utm_source=google&utm_medium=organic&utm_campaign=google-my-business,,restaurantes,Madrid
Rosi La Loca,"C. de Cádiz, 4, Centro, 28012 Madrid",+34 915 32 66 81,http://www.rosilaloca.com/,,restaurantes,Madrid
Lamucca del Carmen,"Pl. del Carmen, 5, Centro, 28013 Madrid",+34 915 21 00 00,https://www.lamuccacompany.com/la-carmen-nuevo-restaurante-de-lamucca-en-madrid/,,restaurantes,Madrid
Restaurante La Mi Venta,"Pl. de la Marina Española, 7, Centro, 28013 Madrid",+34 915 59 50 91,https://www.lamiventa.com/,,restaurantes,Madrid
Bodega de los Secretos,"Calle de San Blas, 4, Centro, 28014 Madrid",+34 914 29 03 96,http://www.bodegadelossecretos.com/,,restaurantes,Madrid
Restaurante Vinitus,"Gran Vía, 4, Centro, 28013 Madrid",+34 916 14 44 21,https://www.laflautagroup.com/,,restaurantes,Madrid
Tapa Tapa Montera,"C. de la Montera, 47, Centro, 28013 Madrid",+34 915 21 01 22,http://www.tapataparestaurant.com/,,restaurantes,Madrid
Chez Madrid,"Pl. Canovas del Castillo, 4, Centro, 28014 Madrid",+34 919 89 58 96,https://glhrestaurants.com/c/restaurantes/chezmadrid/,,restaurantes,Madrid
En Busca del Tiempo,"C. de Barcelona, 4, Centro, 28012 Madrid",+34 915 21 98 01,http://www.enbuscadeltiempo.es/,,restaurantes,Madrid
Inclan Brutal Bar I Restaurante temático Madrid,"C. de Álvarez Gato, 4, Centro, 28012 Madrid",+34 910 23 80 38,http://www.inclanbrutalbar.com/?utm_source=google&utm_medium=GMB,,restaurantes,Madrid
Fisher's Madrid | Restaurante de Pescado Madrid,"Calle Velázquez, 41, Local 50 Bajo, Salamanca, 28001 Madrid",+34 910 41 17 77,https://fishers.com.es/?utm_source=GMB&utm_medium=gmb&utm_campaign=gmb&utm_id=web,,restaurantes,Madrid
El Social,"C. de Hernán Cortés, 19, Centro, 28004 Madrid",+34 911 76 97 35,https://www.elsocialrestaurante.com/,,restaurantes,Madrid
Restaurante Madrida,"C. de López de Aranda, 36, San Blas-Canillejas, 28027 Madrid",+34 915 30 62 74,https://madrida.es/,,restaurantes,Madrid
Taberna La Fragua de Vulcano,"C. de Álvarez Gato, 9, Centro, 28012 Madrid",+34 915 71 10 88,https://lafraguadevulcanomadrid.eatbu.com/,,restaurantes,Madrid
ABYA Restaurante Madrid,"C. de José Ortega y Gasset, 32, Salamanca, 28006 Madrid",+34 910 05 43 04,https://abya.es/,,restaurantes,Madrid
CEBO Madrid Restaurant,"Cra de S. Jerónimo, 34, Centro, 28014 Madrid",+34 917 87 77 80,https://www.cebomadrid.com/,,restaurantes,Madrid
Restaurante Ginger,"Pl. del Ángel, 12, Centro, 28012 Madrid",+34 913 69 10 59,https://andilana.com/locales/ginger/,,restaurantes,Madrid
GastroVía 61 – Grupotel Mayorazgo,"Grupotel Mayorazgo, C. de la Flor Baja, 3, Centro, 28013 Madrid",+34 915 47 26 00,http://www.gastrovia61.com/,,restaurantes,Madrid
Brach Madrid Restaurante,"Gran Vía, 20, Centro, 28013 Madrid",+34 915 46 36 39,https://brachmadrid-restaurant.com/es/,,restaurantes,Madrid
Brisket Restaurante,"C. de Moreto, 7, Retiro, 28014 Madrid",+34 696 38 92 75,https://www.brisketrestaurante.com/,,restaurantes,Madrid
Restaurante Coque,"C. del Marqués del Riscal, 11, Chamberí, 28010 Madrid",+34 916 04 02 02,https://restaurantecoque.com/,,restaurantes,Madrid
Gourmet Experience Gran Vía,"Pl. del Callao, 2, 9ª planta, Centro, 28013 Madrid",+34 913 79 80 00,https://www.elcorteingles.es/aptc/gourmet-experience/gran-via/gusto/,,restaurantes,Madrid
El Sur de Moratín,"C. de Moratín, 19, Centro, 28014 Madrid",+34 911 63 03 24,https://www.facebook.com/ElSurDeMoratin/,,restaurantes,Madrid
