Nombre,Direccion,Telefono,Web,Email,Sector,Ubicacion
FisioSalud Coslada,"C. de Perú, nº23, 28823 Coslada, Madrid",+34 910 24 90 02,http://www.fisiosaludcoslada.es/,,Fisioterapia,Coslada
Agdg Fisioterapia,"C. de Perú, 2, 28823 Coslada, Madrid",+34 624 28 51 40,https://www.agdgfisioterapia.com/,agdgfisioterapia@gmail.com,Fisioterapia,Coslada
Soul Fisioterapia Coslada,"C. Alameda, 15, 28821 Coslada, Madrid",+34 644 69 12 80,https://www.clinica.soulfisioterapia.com/,info@soulfisioterapia.com,Fisioterapia,Coslada
Clínica Miriam Sanz Fisioterapia y Osteopatía,"Av. de Vicálvaro, 45, 28822 Coslada, Madrid",+34 635 58 51 16,,,Fisioterapia,Coslada
"Korporea - Fisioterapia, Osteopatía, Podología y Pilates en Coslada","Av. de Madrid, 32, 28822 Coslada, Madrid",+34 916 69 80 85,http://www.korporea.es/,clinicakorporea@yahoo.com,Fisioterapia,Coslada
Fisiocoslada,"Av. de la Constitución, 25, 28821 Coslada, Madrid",+34 916 73 25 93,https://www.fisioterapiacoslada.com/,grupo_kit_mobile@2x.png,Fisioterapia,Coslada
AGDG Fisioterapia & Pilates,"C. de Méjico, 37, 28823 Coslada, Madrid",+34 624 28 51 40,https://agdgfisioterapia.com/,agdgfisioterapia@gmail.com,Fisioterapia,Coslada
Fisioterapia Puerto Salud,"Pl. del Mar Egeo, 15, 28821 Coslada, Madrid",+34 912 47 74 97,http://www.puertosalud.es/,info@puertosalud.es,Fisioterapia,Coslada
Clínica Prisma Coslada,"C/ de Colombia, 2, posterior, 28823 Coslada, Madrid",+34 616 76 75 93,http://clinicaprismacoslada.com/,info@clinicaprismacoslada.com,Fisioterapia,Coslada
DeporClinic Clinica Medicina Deportiva y Fisioterapia,"C. de Jesús de San Antonio, 22, 28823 Coslada, Madrid",+34 916 69 26 29,,,Fisioterapia,Coslada
Clínica de Fisioterapia y Osteopatía Osfisalud,"C. Gabriel Celaya, 6, 28830 San Fernando de Henares, Madrid",+34 644 12 35 66,https://osfisalud.wordpress.com/,osfisalud@gmail.com,Fisioterapia,Coslada
ANDACLINIC FISIOTERAPIA COSLADA,"C. de Chile, 7, Posterior, 28822 Coslada, Madrid",+34 629 44 48 58,https://www.andaclinic.com/,info@andaclinic.com,Fisioterapia,Coslada
FisioSanfer Fisioterapia San Fernando de Henares,"C. Nazario Calonge, 13, 28830 San Fernando de Henares, Madrid",+34 650 12 23 05,http://www.fisiosanfer.com/,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,Fisioterapia,Coslada
CosVita Fisioterapia,"C. Puerto de Valencia, 14, Local 2, 28821 Coslada, Madrid",+34 690 73 35 76,https://cosvitafisioterapia.com/,contacto@cosvitafisioterapia.com,Fisioterapia,Coslada
Centro Médico Andrómeda,"Plaza del Mar Caribe, s/n, 28821 Coslada, Madrid",+34 916 71 88 40,http://www.centromedicoandromeda.com/,cmed_andromeda@yahoo.es,Fisioterapia,Coslada
Centro De Fisioterapia Y Osteopatía Susana Cobo,"C. de Ávila, 3, Bl. 6 Bajo A, 28830 San Fernando de Henares, Madrid",+34 646 20 94 58,https://fisioterapiasusanacobo.es/,info@fisioterapiasusanacobo.es,Fisioterapia,Coslada
Fisioterapia Daniel Truco,"C. de José Martí, 39, 28822 Coslada, Madrid",+34 626 57 11 20,https://fisioterapiadanieltruco.es/,,Fisioterapia,Coslada
Osteopatía GF y Quiromasajista,"C. de Méjico, 17, bajo 2, 28823 Coslada, Madrid",+34 657 75 28 30,,,Fisioterapia,Coslada
Fisiobronquial Fisioterapia Respiratoria,"Calle del Mar Cantábrico S/N, C. del Puerto de Málaga, esquina, 28821 Coslada, Madrid",+34 916 74 12 70,http://fisiobronquial.com/,secretaria@fisiobronquial.com,Fisioterapia,Coslada
Podyfisio Podologia Y Fisioterapia,"C. de Chile, 162, local 10, 28822 Coslada, Madrid",+34 910 07 51 62,http://www.podyfisio.es/,podyfisio@gmail.com,Fisioterapia,Coslada
Centro de Especialidades Médicas FAMED,"C. de los Almendros, 3, 28821 Coslada, Madrid",+34 916 71 81 32,http://www.clinica-famed.com/,,Fisioterapia,Coslada
Fisioterapia Sernoe,"C. Santillana, 9, 28830 San Fernando de Henares, Madrid",+34 652 60 49 51,https://www.fisioterapiasernoe.es/,info@fisioterapiasernoe.es,Fisioterapia,Coslada
Clínica Abla Coslada,"C. de Argentina, 14, 28823 Coslada, Madrid",+34 916 69 06 53,http://clinicaabla.com/,info@clinicaabla.com,Fisioterapia,Coslada
Centro Zarco Osteopatía,"C. de Ntra. Señora de Bellaescusa, 14, 28823 Coslada, Madrid",+34 911 64 12 32,http://www.osteopatiazarco.com/,hola@osteopatiazarco.com,Fisioterapia,Coslada
Rouco Fisioterapia,"Pl. Fábrica de Paños, 1, Local 5, 28830 San Fernando de Henares, Madrid",+34 604 89 92 79,https://roucofisioterapia.es/,info@roucofisioterapia.es,Fisioterapia,Coslada
PHYSIOSAN,"Avenida de la Constitución 80 Entrando por, Calle de Ntra. Sra. del Amor Hermoso, 28821 Coslada, Madrid",+34 605 26 16 06,https://www.physiosan.es/,,Fisioterapia,Coslada
Pasos Fisioterapia,"C. Rafael Sánchez Ferlosio, 11, 28830 San Fernando de Henares, Madrid",+34 616 07 93 95,http://www.pasosfisioterapia.com/,info@pasosfisioterapia.com,Fisioterapia,Coslada
Fisioterapia y Logopedia en Coslada Clinica EMME Coslada,"Av. de la Constitución, 42, 28821 Coslada, Madrid",+34 670 40 72 76,http://www.clinicaemme.es/,logopedia@clinicaemme.es,Fisioterapia,Coslada
CLÍNICAS UNESPA. Accidentes de Tráfico. Centro Médico. Fisioterapia a domicilio en Coslada - Conares,"Pl. de los Comuneros, 7, local 4, 28821 Coslada, Madrid",+34 911 62 32 14,https://fisiocasa.es/unespa-clinica-de-fisioterapia-en-coslada-madrid/,info@fisiocasa.es,Fisioterapia,Coslada
Ergosalud - Clínica de fisioterapia,"C. Llanes, 12, 28830 San Fernando de Henares, Madrid",+34 910 52 76 40,https://ergosalud.es/,info@ergosalud.es,Fisioterapia,Coslada
