Nombre,Direccion,Telefono,Web,Email,Sector,Ubicacion
Wellness Boutique Experience,"C. de Campoamor, 5, Centro, 28004 Madrid",+34 917 37 35 95,https://www.wellnessmadrid.com/,info@wellnessmadrid.com,Spa,Madrid
Hammam Al Ándalus Madrid Plaza Mayor,"C. de Atocha, 14, Centro, 28012 Madrid",+34 914 29 90 20,https://madrid.hammamalandalus.com/?utm_source=google-mybusiness&utm_medium=gmb-organico&utm_campaign=general-sitio-web-202509&utm_content=enlace-texto,,Spa,Madrid
Spa Privado Madrid - Plaza Castilla,"Calle del Dr. Fleming, 60, B, Chamartín, 28036 Madrid",+34 672 33 23 11,http://www.privadospamadrid.es/,info@privadospamadrid.es,Spa,Madrid
The Organic Spa,"Calle de Lagasca, 90, Salamanca, 28006 Madrid",+34 915 77 56 70,https://www.theorganicspamadrid.com/,reservas@theorganicspamadrid.com,Spa,Madrid
Kamai Spa - Spa Privado en Madrid - Plaza Castilla,"C. del Nardo, 2, local 13, Tetuán, 28029 Madrid",+34 640 56 47 11,https://kamaispa.com/?utm_source=google&utm_medium=mybusiness&utm_campaign=mybusiness&utm_content=kamai,info@kamaispa.com,Spa,Madrid
Madrid Day Spa by Nuilea,"C. del León, 4, Centro, 28014 Madrid",+34 910 66 38 15,https://madrid-day-spa.com/,info@madrid-day-spa.com,Spa,Madrid
Six Harmonies Spa,"C. de Salustiano Olózaga, 11, bajo, Salamanca, 28001 Madrid",+34 671 07 78 64,http://sixharmonies.es/,info@sixharmonies.es,Spa,Madrid
"Sense, A Rosewood Spa","P.º de la Castellana, 22, Planta, Salamanca, 28046 Madrid",+34 915 87 19 80,https://www.rosewoodhotels.com/es/villa-magna/wellness/spa,villamagna.reservations@rosewoodhotels.com,Spa,Madrid
Madrid Sol y Agua,"C. de la Infanta Mercedes, 36, 38- BAJO, Tetuán, 28020 Madrid",+34 914 25 07 20,http://www.madridsolyagua.com/,,Spa,Madrid
Sulis Hammam & Spa,"Pl. de la Morería, 2, Centro, 28005 Madrid",+34 624 73 84 29,https://www.sulishammamspa.com/,info@sulishammamspa.com,Spa,Madrid
Halmma,"C. del Barquillo, 47, Centro, 28004 Madrid",+34 910 30 11 35,https://halmma.com/?utm_source=GMB&utm_medium=cta-sitioweb&utm_campaign=trafico-GMB,,Spa,Madrid
Oasis Hammam,"C. de Sor María de Ágreda, 39, Cdad. Lineal, 28017 Madrid",+34 638 47 91 10,https://oasishammam.es/,info@oasishammam.es,Spa,Madrid
Spa Bodyna Madrid,"Pl. de la Independencia, 3, Salamanca, 28001 Madrid",+34 914 32 29 11,https://www.hospes.com/es/puerta-alcala/spa-bodyna-madrid/,palaciosanesteban@hospes.com,Spa,Madrid
Lush Spa Madrid,"C. del Carmen, 24, Centro, 28013 Madrid",+34 915 32 76 67,https://www.lush.com/es/es,,Spa,Madrid
Brisa Head Spa I Spa Capilar Goya,"C. Lanuza, 25, Salamanca, 28028 Madrid",+34 620 17 91 66,https://www.brisaheadspa.es/,hola@brisaheadspa.es,Spa,Madrid
Spazio Wellness - Masajes en Madrid,"C. de los Estudios, 4, Centro, 28012 Madrid",+34 615 94 55 21,https://spaziowellness.es/,,Spa,Madrid
Mizumadrid Head Spa,"C. de Ramos Carrión, 6, Chamartín, 28002 Madrid",+34 691 35 25 96,https://www.mizumadrid.com/sesiones-doble,supgou@mizumadrid.com,Spa,Madrid
